sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
100	Zeta Psc	86 Psc, Revati	STF 100	Psc	01 13.7	+07 35	[4.9, 5.2, 6.3]	23.2	3,󰥮9cm,45x,autumn(2)<NEWLINE>AB (Physical), PA: 63, Sep: 23.2<SECS>, Mag: 5.2/6.3 ENE. Bright stars. The main is yellow. The companion is slightly redder.<NEWLINE>BC (Uncertain), PA: 75, Sep: 2.0<SECS>, Mag: 6.3/12.2 Very faint and very tight. E of B.
101	HD 3125	D 2	STF 39	Cet	00 34.5	-04 33	[6.9, 7.1, 8.7]	200.8	3,󰥮15cm,50x,autumn(2)<NEWLINE>AC (Physical), PA: 45, Sep: 20.1<SECS>, Mag: 7.1/8.7 Decent star hop from iota. White and orange. Very close! SW-NE. AB (WDS D 2) are <0.5<SECS>.<NEWLINE>AD (Optical), PA: 159, Sep: 200.8<SECS>, Mag: 7.1/10.0 Outlier. The D star was to the south-south-east. 10 times the AC sep. Slightly dimmer than C. Nice!
102	HD 9336	BD-19 262	HJ 2052	Cet	01 31.6	-19 01	[6.4, 6.9, 7.5]	80.8	2,󰥮9cm,45x,autumn(2)<NEWLINE>AB (Optical), PA: 114, Sep: 80.8<SECS>, Mag: 6.9/7.5 Equal. Wide. ESE. Yellow and blue.
103	Nu Cet	78 Cet	STF 281	Cet	02 35.9	+05 36	[5.0, 5.0, 9.1]	8.4	2,󰥮10cm,50x,autumn(2)<NEWLINE>AB (Physical), PA: 80, Sep: 8.4<SECS>, Mag: 5.0/9.1 Bright primary and delicate dim star. B is east. Pale yellow and white.
104	66 Cet	HR 650	STF 231	Cet	02 12.8	-02 24	[5.5, 5.7, 7.7]	147.0	3,󰥮9cm,45x,autumn(2)<NEWLINE>AB (Optical), PA: 235, Sep: 16.8<SECS>, Mag: 5.7/7.7 Interesting. Yellow and orange? Blue? delicate. Not far from Mira. SW.<NEWLINE>AC (Optical), PA: 53, Sep: 147.0<SECS>, Mag: 5.7/11.5 Faint star to the north-east.
105	Mesarthim	Gamma 2 Ari, 5 Ari	STF 180	Ari	01 53.5	+19 18	[3.8, 4.5, 4.6]	216.8	3,󰥮9cm,100x,autumn(2)<NEWLINE>AB (Physical), PA: 2, Sep: 7.4<SECS>, Mag: 4.5/4.6 Same magnitude and colour. Yellow-white. Easy to split at 52x. They look like moth eyes!<NEWLINE>AC (Optical), PA: 81, Sep: 216.8<SECS>, Mag: 4.5/8.6 Dim and very far away, to the east.
106	HD 13247	BD+32 390	STF 219	Tri	02 10.3	+33 22	[7.6, 8.0, 8.9]	11.7	2,󰥮10cm,50x,autumn(2)<NEWLINE>AB (Physical), PA: 186, Sep: 11.7<SECS>, Mag: 8.0/8.9 Faint. Interesting field stars. B is slightly dimmer and nearly due south. Pale blue both.
107	15 Tri	HR 750	AG  304	Tri	02 35.8	+34 41	[5.3, 5.6, 6.8]	142.4	2,󰥮9cm,25x,autumn(2)<NEWLINE>AB (Uncertain), PA: 16, Sep: 142.4<SECS>, Mag: 5.6/6.8 Amazing colours. Wide pair. NNE. Easy target in binoculars. Pale orange. B is aquamarine.
108	Polaris	Alpha UMi, 1 UMi	STF  93	UMi	02 31.9	+89 16	[2.0, 2.0, 9.1]	18.4	2,󰥮10cm,50x,autumn(2)<NEWLINE>AB (Physical), PA: 236, Sep: 18.4<SECS>, Mag: 2.0/9.1 Yellow and blue and beautiful! SW.
109	Zeta Per	Atik, 44 Per	STF 464	Per	03 54.1	+31 53	[2.9, 2.9, 9.2]	120.0	5,󰥮9cm,70x,autumn(2)<NEWLINE>AB (Physical), PA: 209, Sep: 12.9<SECS>, Mag: 2.9/9.2 aka Atik. Tight. A is pale yellow. Near triple HD 24601.<NEWLINE>AC (Uncertain), PA: 286, Sep: 33.3<SECS>, Mag: 2.9/11.2 Faintest of all. NW.<NEWLINE>AD (Optical), PA: 195, Sep: 98.6<SECS>, Mag: 2.9/10.4 A pair, dim, to the south. D and E stars. D is closer. Hard to get colours, orange?<NEWLINE>AE (Physical), PA: 186, Sep: 120.0<SECS>, Mag: 2.9/10.0 A pair, dim, to the south. D and E stars. Hard to get colours, blue?
110	Miram	Eta Per, 15 Per	STF 307	Per	02 50.7	+55 54	[3.8, 3.8, 8.5]	242.9	6,󰥮9cm,45x,autumn(2)<NEWLINE>AB (Uncertain), PA: 301, Sep: 28.7<SECS>, Mag: 3.8/8.5 Miram. Light orange with blue-green. NW.<NEWLINE>AC (Optical), PA: 269, Sep: 64.0<SECS>, Mag: 3.8/11.6 Grey. To the W. Same distance as F.<NEWLINE>AE (Optical), PA: 297, Sep: 242.9<SECS>, Mag: 3.8/9.2 Blue-white. Beyond B. Well away<NEWLINE>AF (Optical), PA: 25, Sep: 57.7<SECS>, Mag: 3.8/11.4 Dull yellow. Same distance as CD. Nearly due N.<NEWLINE>CD (Uncertain), PA: 116, Sep: 5.2<SECS>, Mag: 11.6/12.7 Grey. Same distance as F. D is the <SECS>inner<SECS> star while C is the <SECS>outer.<SECS>
