"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"PSA","H 119          ","22 39.7","-28 20","    ","h 5356                    ","6.3 ","7.3 ","87   ","160","Bino pair; O/BW                                              ","384","23 ","8  ","191308"
"PSA","H N 117        ","22 39.7","-28 20","BC  ","                          ","    ","8.1 ","3.2  ","67 ","                                                             ","384","23 ","8  ","      "
"PSA","Gamma PsA      ","22 52.5","-32 53","    ","                          ","4.5 ","8   ","4.2  ","262","A0                                                           ","384","23 ","8  ","214153"
"PSA","Delta PsA      ","22 55.9","-32 32","    ","Howe 91                   ","4.2 ","9.2 ","5    ","244","                                                             ","384","23 ","8  ","214189"
"PSA","Alpha PsA      ","22 57.6","-29 37","    ","Fomalhaut                 ","1.2 ","14  ","30   ","36 ","                                                             ","384","23 ","8  ","191524"
"PSA","h 5371         ","22 57.8","-26 08","    ","                          ","7.4 ","8.9 ","8.9  ","343","G0                                                           ","348","23 ","8  ","191529"
"PSC","34 Psc         ","00 10.0","+11 09","    ","                          ","5.5 ","9.4 ","7.7  ","160","B8                                                           ","170","17 ","3  ","91750 "
"PSC","35 Psc         ","00 15.0","+08 49","    ","                          ","6   ","7.6 ","11.6 ","148","CoCo; W/P                                                    ","170","17 ","3  ","109087"
"PSC","STF   15       ","00 15.9","-05 36","    ","                          ","7.8 ","10.3","4.7  ","198","G5                                                           ","260","17 ","3  ","      "
"PSC","STF   22       ","00 17.4","+08 53","ABxC","                          ","6.7 ","7.8 ","4    ","234","                                                             ","171","17 ","3  ","      "
"PSC","STF   20       ","00 17.4","+16 31","    ","                          ","8.8 ","9.7 ","11.9 ","233","                                                             ","171","17 ","3  ","91819 "
"PSC","STF   23       ","00 17.5","+00 19","    ","                          ","7.7 ","10  ","7.5  ","225","                                                             ","216","17 ","3  ","109113"
"PSC","STF   25       ","00 18.7","+15 59","    ","                          ","9.4 ","9.7 ","1.2  ","194","                                                             ","171","17 ","3  ","      "
"PSC","42 Psc         ","00 22.4","+13 29","    ","STF   27                  ","6.2 ","10.1","28.5 ","324","K0; CoCo; Y/O                                                ","171","17 ","3  ","91866 "
