catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
686	Har 686	NGC 5904	229.920833333333	2.08691111111111	5	17.4	Gb	Ser
687	Har 687	5 Ser	229.8625	1.75277777777778	5	0	D*	Ser
688	Har 688	I 332	230.225	-67.4877444444444	6.3	0	D*	TrA
689	Har 689	Howe 76	230.416666666667	-38.2272555555556	6.6	0	D*	Lup
690	Har 690	PK342+27.1	230.616666666667	-23.6360777777778	11.6	0	PN	Lib
691	Har 691	eta CrB	230.825	30.2736444444444	5	0	D*	CrB
692	Har 692	gamma Cir	230.895833333333	-59.3272555555556	4.5	0	D*	Cir
693	Har 693	mu Boo	231.15	37.3828111111111	4.31	0	***	Boo
694	Har 694	NGC 5927	232.045833333333	-50.6797555555556	8	12	Gb	Lup
695	Har 695	delta Ser	233.729166666667	10.5267	3.8	0	D*	Ser
696	Har 696	gamma Lup	233.825	-41.1744777777778	2.8	0	D*	Lup
697	Har 697	NGC 5946	234.1625	-50.6828111111111	9	7.1	Gb	Nor
698	Har 698	HJ 4788	234.016666666667	-44.9655555555556	4.5	0	D*	Lup
699	Har 699	PK315-13.1	234.358333333333	-71.9203111111111	11.8	0	PN	Aps
700	Har 700	zeta CrB	234.866666666667	36.6219777777778	4.6	0	D*	CrB
701	Har 701	BU 122	235.0125	-19.7783666666667	6.9	0	D*	Lib
702	Har 702	gamma CrB	235.7125	26.2825333333333	3.8	0	D*	CrB
703	Har 703	BU 619	235.820833333333	13.6555555555556	6.5	0	D*	Ser
704	Har 704	Howe 79	236.1375	-41.8253111111111	5.9	0	D*	Lup
705	Har 705	HLD 124	236.291666666667	-50.7919111111111	6.4	0	D*	Nor
706	Har 706	NGC 5986	236.554166666667	-37.7933	7	9.8	Gb	Lup
707	Har 707	NGC 5979	237.225	-61.2233666666667	12.2	0.1	PN	TrA
708	Har 708	RMK 20	237.029166666667	-65.4474666666667	5.5	0	D*	TrA
709	Har 709	Shapley 1	237.966666666667	-51.5305888888889	13.6	0	PN	Nor
710	Har 710	NGC 5999	238.083333333333	-56.4783666666667	9	5	OC	Nor
711	Har 711	2 Sco	238.441666666667	-25.3352444444444	4.6	0	D*	Sco
