005.8+05.1 |17 36 55.0 -21 12 32.   76..9055|H 2-16       |  5+05 2 |17369-2112 |HARO 1952                       |ARO 256,ESO 588-15,He 2- 261,Sa 2-226,VV' 227
005.8-06.1 |18 19 46.8 -26 50 50.   73..9034|NGC 6620     |  5-06 1 |18198-2650 |PICKERING 1880                  |ARO 99,ESO 522-22,He 2- 394,Sa 2-332,StWr 2-4,VV 173,VV' 394,Wray 16-410
005.9-02.6 |18 06 07.5 -25 05 09.   78..1561|MaC 1-10     |         |18061-2505 |MAC CONNELL 1978                | PM 1-213
006.0+02.8 |17 45 36.0 -22 15 53.   76..9055|Th 4- 3      |  6+02 1 |17456-2215 |THE 1964                        |ARO 259,ESO 589-07,Sa 3- 78
006.0+03.1 |17 44 37.4 -22 05 19.   76..9055|M 1-28       |  6+03 2 |17446-2205 |MINKOWSKI 1946                  |ESO 589-06,He 2- 285,Sa 3- 76,VV 115,VV' 250
006.0-03.6 |18 10 10.5 -25 30 56.8  83..1405|M 2-31       |  6-03 3 |18101-2530 |MINKOWSKI 1947                  |ESO 522- 06,He 2- 368,Sa 2-313,StWr 2- 1,VV 158,VV' 369,Wray 16- 390
006.0-41.9 |21 02 44.5 -37 20 18.7  89.13504|PRMG 1       |         |           |PENA et al 1989                 |
006.1+08.3 |17 26 00.74-19 13 32.1  90..1502|M 1-20       |  6+08 1 |17260-1913 |MINKOWSKI 1946                  |ESO 588-03,He 2- 235,Sa 2-204,VV 102,VV' 203
006.2+01.0 |17 52 53.8 -22 58 37.   83.28035|HaTr  8      |         |           |HARTL et al 1983                |
006.2-03.7 |18 11 14.0 -25 21 46.   88..2065|KFL 15       |         |           |KINMAN et al 1988               |
006.3+03.3 |17 44 34.  -21 46 24. d 81..1551|H 2-22       |  6+03 1 |17445-2146 |HARO 1952                       |ESO 589-05,Sa 3- 75,VV' 251
006.3+04.4 |17 40 29.3 -21 08 33.8  83..1405|H 2-18       |  6+04 1 |           |HARO 1952                       |ESO 589-01,Sa 2-232,VV' 234
006.4+02.0 |17 49 40.2 -22 21 18.   76..9055|M 1-31       |  6+02 5 |17496-2221 |MINKOWSKI 1946                  |ESO 589-16,He 2- 299,Sa 2-260,Ve 59,VV 123,VV' 275
006.4-04.6 |18 15 08.  -25 39 24. d 81..1503|Pe 2-13      |  6-04 1 |18150-2539 |PEREK 1960                      |ESO 522-14,Sa 3-129,VV' 387
006.5-03.1 |18 09 29.  -24 50 48. d 81..1503|H 1-61       |  6-03 1 |18094-2450 |HARO 1952                       |ESO 522-04,He 2- 364,VV' 364,Wray 16- 387
006.7-02.2 |18 06 26.1 -24 13 03.   67.30013|M 1-41       |  6-02 1 |18064-2413 |MINKOWSKI 1946                  |He 2- 355,Ve 62,VV 152,VV' 355,Wray 17- 112
006.8+02.0 |17 50 36.  -21 58 06. d 81..1551|Pe 2-10      |  6+02 4 |           |PEREK 1960                      |ESO 589-19,VV' 280
006.8+02.3 |17 49 22.0 -21 50 33.   76..9055|Th 4- 7      |  6+02 3 |17493-2150 |THE 1964                        |ARO 263,ESO 589-15,Sa 2-257
006.8+04.1 |17 42 32.4 -20 56 52.0  67.30013|M 3-15       |  6+04 2 |17425-2056 |MINKOWSKI 1948                  |ESO 589-02,He 2- 279,Sa 2-240,VV' 243
006.8-03.4 |18 11 24.  -24 44 30. d 81..1503|H 2-45       |  6-03 2 |18114-2443 |HARO 1952                       |ESO 522-08,Sa 2-315,VV' 374
006.8-08.6 |18 31 47.  -27 08 48. * 70..9104|Al 1         |         |18318-2708 |WRAY 1966                       |ESO 523-02,Wray 15-1876
006.8-19.8 |19 18 58.3 -31 36 25.   66.30012|Wray 16-423  |         |           |WRAY 1966                       |ESO 459-17,Sa 2-389,StWr 2-18
007.0+06.3 |17 35 15.  -19 36 00. d 81..1551|M 1-24       |  7+06 2 |17352-1935 |MINKOWSKI 1946                  |ESO 588-12,He 2- 258,Sa 2-223,VV 107,VV' 225
007.0-06.0 |18 21 51.  -25 43 36. d 81..1503|H 1-66       |  7-06 1 |18218-2543 |HARO 1952                       |AS 303,ESO 522-24,He 2- 397,MHa 366-101,Sa 2- 333,StWr 2-2,VV' 401
007.0-06.8 |18 24 53.2 -26 08 36.   76..9055|VY 2- 1      |  7-06 2 |18248-2608 |VYSSOTSKY 1945                  |ESO 522- 27,He 2- 400,Sa 2-336,StWr 2- 5,VV 181,VV' 405,Wray 15-1872
007.2+01.8 |17 52 06.8 -21 44 10.   73..9034|Hb  6        |  7+01 1 |17521-2144 |HUBBLE 1921                     |ARO 96,ESO 589-20,He 2- 305,Sa 2-264,Ve 60,VV 128,VV' 285
007.5+04.3 |17 43 22.  -20 12 48. d 81..1551|Th 4- 1      |  7+04 1 |           |THE 1964                        |ESO 589-04,He 2- 282,Sa 3- 63
007.5+07.4 |17 32 14.  -18 32 24. d 81..1551|M 1-22       |  7+07 1 |17322-1832 |MINKOWSKI 1946                  |ESO 588-08,He 2- 252,Sa 2-217,VV 104,VV' 219
007.6+06.9 |17 34 26.  -18 45 00. d 81..1551|M 1-23       |  7+06 1 |17344-1844 |MINKOWSKI 1946                  |ESO 588-11,He 2- 256,Sa 2-222,VV 105,VV' 223
