061.4-09.5 |   40.   71..9065, 87...536
061.8+02.1 |<  10.   67.30013                    |   0.4  90..1502
061.9+41.3 |    0.6  87..2542                    |   1.   90..1502
062.4+09.5 |   40.   71..9065, 87...536
062.4-00.2 |    8.   67.30013                    |   3.1  89..1570
063.1+13.9 |   76.   87...536, 67.30013
063.8-03.3 |    0.   CS 90                       |   0.8  90..1502
064.6+48.2 |   23.   87...536, 67.30013
064.7+05.0 |    7.5  87...536, 71..9065          |   8.    ZPB 89
064.9+15.5 |   17.2  71..9065
064.9-02.1 |<   6.   CS 90                       |   0.8  90..1502
065.0-27.3 |    1.   67.30013                    |   3.    ZPB 89
065.1-03.5 |   24.   77..1547
065.2-05.6 |   18.8  71..9065
065.9+00.5 |   57.   87...536, 67.30013          |  36.   89..1570
066.7-28.2 |   94.   87...536, 71..9065
066.9+02.2 |   12. : CS 90
066.9-05.2 |    5.   67.30013                    |   5.   89..1570
067.9-00.2 |    0.   CS 90                       |   0.7  90..1502
068.3-02.7 |<   5.   91.30002                    |   1.3  90..1502
068.6+01.1 |   22.4  71..9065
068.7+01.9 |    0.   CS 90                       |   3.   90..1502
068.7+03.0 |    5. : 91.30002                    |   2.1  89..1570
068.7+14.8 |    0.   85..3129
068.8-00.0 |   14.6  71..9065
069.2+02.8 |<   3.   91.30002                    |<  0.2  90..1502
069.2+03.8 |   23.   71..9065
069.4-02.6 |   40.   87...536, 67.30013          |  55.   89..1570
069.6-03.9 |    7.8  71..9065
069.7-00.0 |    5. : 91.30002                    |   8.2  90..1502
071.6-02.3 |<   5.   67.30013                    |   1.5  90..1502
072.1+00.1 |<   6.   91.30002                    |   6.3  90..1502
072.7-17.1 |  830.   71..9065
073.0-02.4 |    4.3  72..9045                    |<  0.2  90..1502
074.5+02.1 |    4.   81..1008, 67.30013, 71..9065|   2.6  90..1502
075.6+04.3 |   28.   71..9065
075.7+35.8 |   13.   83..3101
076.3+01.1 |   22.   67.30013
076.4+01.8 |<   6.   72..9045
077.5+03.7 |    5.6  72..9045
077.6+14.7 |  200.   71..9065
077.7+03.1 |    3.5: 72..9045
078.3-02.7 |   20.   72..9045
078.5+18.7 |   27.   71..9065
078.6+05.2 |   20.   72..9045
078.9+00.7 |    7.6  72..9045
079.6+05.8 |   15.2  71..9065
079.9+06.4 |    4.   71..9065
081.2-14.9 |  107.   71..9065
082.1+07.0 |    6.   81..1008, 67.30013, 71..9065|   3.1  84..2631
082.5+11.3 |    2.   71..9065                    |   0.5  90..1502
083.5+12.7 |   25.   71..9065
083.9-08.4 |   10. : 91.30002
084.0+09.5 |   16.   72..9045
084.2+01.0 |   27.   72..9045
084.2-04.2 |    5.8  72..9045
084.9+04.4 |  157.   71..9065
084.9-03.4 |   14.   87...536                    |  15.    ZPB 89
086.1+05.4 |  190.   77..1547
086.5-08.8 |    8.3  81..1008                    |   1.7  84..2631
087.4-03.8 |   35.   77..1548
088.7+04.6 |    3.2  72..9045                    |   4.8  89..1570
088.7-01.6 |   61.   87...536, 71..9065          |  70.   89..1570
089.0+00.3 |   20.   71..9065, 87...536
089.3-02.2 |    7.   71..9065                    |   8.   89..1570
089.8-00.6 |   35.   71..9065
089.8-05.1 |    1.2  81..1008                    |   1.5  90..1502
091.6+01.8 |   25.   77..1547
091.6-04.8 |    8.   91.30002
092.1+05.8 |   11.5  72..9045
093.3-00.9 |   19.   72..9045                    |  25.   89..1570
093.3-02.4 |   33.   71..9065                    |  30.   89..1570
093.4+05.4 |   86.   87...536, 71..9065          |  95.   89..1570
093.5+01.4 |    6.4  71..9065                    |   3.8  84..2631
094.0+27.4 |  114.   71..9065                    |  94.   89..1570
094.5-00.8 |    6. : 91.30002                    |   5.   89..1570
095.1-02.0 |<   8.   CS 90                       |   2.5  90..1502
095.2+00.7 |    3. : 91.30002                    |   2.5  90..1502
095.2+07.8 |   73.   71..9065
096.3+02.3 |    6.1  67.30013                    |   6.   89..1570
096.4+29.9 |   19.5  87...536, 71..9065          |  15.   75...238
097.5+03.1 |   40.   67.30013
097.6-02.4 |    4.   71..9065                    |   4.5  89..1570
