147-09.1 * HtWe 3          03 13 07.4   +46 42 35.    1950   43.134.029          03 16 34.61 +46 53 36.1
147-09.1 * HtWe 3          03 13 07.0   +46 42 35.    1950   Ko,Ku (1999)        03 16 34.21 +46 53 36.2
149-09.1 * HtDe 3          03 23 48.9   +45 13 54.    1950   43.134.029        * 03 27 15.43 +45 24 19.3
149-09.1 * HtDe 3          03 23 49.0   +45 13 55.    1950   70.002.006          03 27 15.53 +45 24 20.3
220-53.1   NGC 1360        03 31 06.6   -26 02 12.    1950   09.133.025        * 03 33 14.36 -25 52 09.3
220-53.1   NGC 1360        03 31 07.6   -26 02 15.    1950   34.134.010          03 33 15.35 -25 52 12.4
220-53.1   NGC 1360        03 31 05.9   -26 02 22.    1950   50.134.178          03 33 13.65 -25 52 19.3
220-53.1   NGC 1360        03 31 07.6   -26 02 15.    1950   70.002.006          03 33 15.35 -25 52 12.4
220-53.1   NGC 1360        03 33 14.62  -25 52 21.0   2000   AC 2888140          03 33 14.62 -25 52 21.0
220-53.1   NGC 1360        03 33 14.65  -25 52 18.2   2000   HIP 016566          03 33 14.65 -25 52 18.2
220-53.1   NGC 1360        03 33 14.67  -25 52 18.1   2000   PPM 246372          03 33 14.67 -25 52 18.1
142+03.1   K 3-94          03 32 01.4   +59 53 51.    1950   50.134.178          03 36 08.11 +60 03 46.7
142+03.1   K 3-94          03 32 01.24  +59 53 51.4   1950   52.002.003          03 36 07.95 +60 03 47.1
142+03.1   K 3-94          03 32 01.5   +59 53 51.    1950   70.002.006          03 36 08.21 +60 03 46.7
142+03.1   K 3-94          03 36 07.77  +60 03 44.0   2000   70.002.006 rad      03 36 07.77 +60 03 44.0
142+03.1   K 3-94          03 31 59.4   +59 53 52.    1950   IRAS03319+5953      03 36 06.10 +60 03 47.8
147-02.1   M 1-4           03 37 59.    +52 07 26.    1950   CGPN/Mi 59          03 41 43.27 +52 17 01.2
147-02.1   M 1-4           03 37 59.1   +52 07 26.    1950   CGPN/Ko 64d         03 41 43.37 +52 17 01.2
147-02.1   M 1-4           03 37 59.0   +52 07 26.    1950   33.134.004          03 41 43.27 +52 17 01.2
147-02.1   M 1-4           03 37 59.13  +52 07 25.2   1950   37.134.035          03 41 43.40 +52 17 00.4
147-02.1   M 1-4           03 37 59.13  +52 07 25.2   1950   52.002.003          03 41 43.40 +52 17 00.4
147-02.1   M 1-4           03 37 59.2   +52 07 26.    1950   70.002.006          03 41 43.47 +52 17 01.2
147-02.1   M 1-4           03 41 43.34  +52 17 00.6   2000   70.002.006 rad      03 41 43.34 +52 17 00.6
147-02.1   M 1-4           03 37 58.2   +52 07 22.    1950   IRAS03379+5207      03 41 42.47 +52 16 57.3
156-13.1 * HtWe 5          03 42 10.1   +37 39 27.    1950   43.134.029          03 45 26.68 +37 48 48.0
156-13.1 * HtWe 5          03 42 10.0   +37 39 32.    1950   70.002.006          03 45 26.59 +37 48 53.0
156-13.1 * HtWe 5          03 42 10.3   +37 39 31.    1950   Ko,Ku (1999)        03 45 26.89 +37 48 52.0
159-15.1   IC 351          03 44 20.2   +34 53 35.    1950   CGPN/Ko 64d         03 47 32.90 +35 02 48.3
159-15.1   IC 351          03 44 20.27  +34 53 35.4   1950   12.133.017          03 47 32.97 +35 02 48.7
159-15.1   IC 351          03 44 20.28  +34 53 35.8   1950   37.134.035          03 47 32.98 +35 02 49.1
159-15.1   IC 351          03 44 20.23  +34 53 35.8   1950   52.002.003          03 47 32.93 +35 02 49.1
159-15.1   IC 351          03 44 20.3   +34 53 35.    1950   70.002.006          03 47 33.00 +35 02 48.3
159-15.1   IC 351          03 47 33.04  +35 02 47.9   2000   70.002.006 rad      03 47 33.04 +35 02 47.9
159-15.1   IC 351          03 44 20.2   +34 53 34.    1950   IRAS03443+3453      03 47 32.90 +35 02 47.3
149-03.1 * IsWe 1          03 45 25.69  +49 51 06.7   1950   43.134.034        * 03 49 05.90 +50 00 15.1
149-03.1 * IsWe 1          03 45 25.7   +49 51 06.    1950   70.002.006          03 49 05.91 +50 00 14.4
149-03.1 * IsWe 1          03 45 25.6   +49 51 06.    1950   Ko,Ku (1999)        03 49 05.81 +50 00 14.4
171-25.1   Ba 1            03 50 42.6   +19 20 52.    1950   02.133.027        * 03 53 36.33 +19 29 42.5
171-25.1   Ba 1            03 50 44.7   +19 20 36.    1950   09.133.025          03 53 38.43 +19 29 26.3
171-25.1   Ba 1            03 50 42.3   +19 20 37.    1950   34.134.010          03 53 36.02 +19 29 27.5
171-25.1   Ba 1            03 50 42.6   +19 20 48.    1950   50.134.178          03 53 36.33 +19 29 38.5
171-25.1   Ba 1            03 50 42.7   +19 20 49.    1950   70.002.006          03 53 36.43 +19 29 39.5
171-25.1   Ba 1            03 53 36.56  +19 29 31.0   2000   70.002.006 rad      03 53 36.56 +19 29 31.0
161-14.1   IC 2003         03 47 07.1   +33 26 50.    1855   CGPN/Es 07        * 03 56 22.09 +33 52 33.2
161-14.1   IC 2003         03 53 10.0   +33 43 48.    1950   11.133.008          03 56 21.96 +33 52 28.7
161-14.1   IC 2003         03 53 10.0   +33 45 49.3   1950   12.133.017          03 56 22.01 +33 54 30.0
161-14.1   IC 2003         03 53 10.5   +33 43 51.    1950   30.002.012          03 56 22.46 +33 52 31.7
161-14.1   IC 2003         03 53 10.05  +33 43 49.1   1950   37.134.035          03 56 22.01 +33 52 29.8
161-14.1   IC 2003         03 53 10.05  +33 43 50.0   1950   52.002.003          03 56 22.01 +33 52 30.7
161-14.1   IC 2003         03 53 10.0   +33 43 49.    1950   70.002.006          03 56 21.96 +33 52 29.7
161-14.1   IC 2003         03 56 22.05  +33 52 29.7   2000   70.002.006 rad      03 56 22.05 +33 52 29.7
161-14.1   IC 2003         03 53 10.1   +33 43 50.    1950   IRAS03531+3343      03 56 22.06 +33 52 30.7
144+06.1   NGC 1501        03 56 41.10  +60 35 27.8   1880   CGPN/Wn 09          04 06 59.12 +60 55 13.8
144+06.1   NGC 1501        03 58 23.51  +60 38 53.4   1900   CGPN/Bs 11          04 06 59.23 +60 55 15.2
144+06.1   NGC 1501        03 58 23.79  +60 38 51.4   1900   CGPN/Lo 11          04 06 59.50 +60 55 13.1
144+06.1   NGC 1501        04 02 40.65  +60 47 11.7   1950   12.133.017          04 06 59.38 +60 55 14.2
144+06.1   NGC 1501        04 02 40.7   +60 47 13.    1950   70.002.006          04 06 59.43 +60 55 15.5
144+06.1   NGC 1501        04 06 59.33  +60 55 14.7   2000   70.002.006 rad      04 06 59.33 +60 55 14.7
144+06.1   NGC 1501        04 02 41.0   +60 47 09.    1950   IRAS04026+6047      04 06 59.73 +60 55 11.5
165-15.1   NGC 1514        04 03 00.08  +30 30 38.8   1900   CGPN/Lo 11          04 09 17.06 +30 46 34.2
165-15.1   NGC 1514        04 03 00.18  +30 30 38.7   1900   CGPN/Rb 14          04 09 17.16 +30 46 34.1
165-15.1   NGC 1514        04 06 08.26  +30 38 42.2   1950   CGPN/AGK2           04 09 17.02 +30 46 33.8
165-15.1   NGC 1514        04 06 08.27  +30 38 41.9   1950   12.133.017          04 09 17.03 +30 46 33.5
165-15.1   NGC 1514        04 06 08.2   +30 38 47.    1950   50.134.178          04 09 16.96 +30 46 38.6
165-15.1   NGC 1514        04 06 08.1   +30 38 42.    1950   70.002.006          04 09 16.86 +30 46 33.6
165-15.1   NGC 1514        04 09 16.90  +30 46 32.0   2000   70.002.006 rad      04 09 16.90 +30 46 32.0
165-15.1   NGC 1514        04 06 08.3   +30 38 41.    1950   Ko,Ku (1999)        04 09 17.06 +30 46 32.6
165-15.1   NGC 1514        04 06 08.25  +30 38 41.6   1950   AGK3+30 402         04 09 17.01 +30 46 33.2
165-15.1   NGC 1514        04 06 08.31  +30 38 41.6   1950   GSC 2358-00056      04 09 17.07 +30 46 33.2
165-15.1   NGC 1514        04 09 16.99  +30 46 33.4   2000   HIP 019395          04 09 16.99 +30 46 33.4
165-15.1   NGC 1514        04 09 16.99  +30 46 33.3   2000   PPM 069152          04 09 16.99 +30 46 33.3
165-15.1   NGC 1514        04 06 08.26  +30 38 42.5   1950   SAO 57020           04 09 17.02 +30 46 34.1
165-15.1   NGC 1514        04 06 09.6   +30 38 49.    1950   IRAS04061+3038      04 09 18.36 +30 46 40.5
147+04.1   M 2-2           04 09 10.    +56 49 20.    1950   CGPN/Mi 59          04 13 14.84 +56 56 57.9
147+04.1   M 2-2           04 09 10.2   +56 49 20.    1950   CGPN/Ko 64d         04 13 15.04 +56 56 57.9
147+04.1   M 2-2           04 09 09.98  +56 49 20.7   1950   12.133.017          04 13 14.82 +56 56 58.6
147+04.1   M 2-2           04 09 10.2   +56 49 16.    1950   33.134.004          04 13 15.04 +56 56 53.9
147+04.1   M 2-2           04 09 10.2   +56 49 19.    1950   50.134.178          04 13 15.04 +56 56 56.9
147+04.1   M 2-2           04 09 10.2   +56 49 20.    1950   70.002.006          04 13 15.04 +56 56 57.9
