|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|UX Dra       |SAO 9404; CCCS 2738                |DRA|19 21.6|+76 34| 6.1|2.67|N0;C7 |Period 168 days; 6.0-7.0m; 45 min east of star 59 Dra       |
|Z Eri        |SAO 148612                         |ERI|02 47.9|-12 28| 6.9|1.56|M4    |Period 80 days; 6.5-7.9m                                    |
|DV Eri       |HD 29064                           |ERI|04 34.2|-08 14| 5.1|1.7 |M3    |                                                            |
|SY Eri       |SAO 131832; HD 33404               |ERI|05 09.8|-05 31| 8.6|2.58|N0;C6 |Period 96 days; 9.0-10m; pumpkin colored                    |
|R For        |CD -26:892; CCCS 103               |FOR|02 29.3|-26 06| 7.5|1.6 |Ne    |Variable 7.5-13mag                                          |
|HD 20729     |                                   |FOR|03 19.6|-24 07| 5.6|1.7 |M2    |                                                            |
|BD +24 1124  |                                   |GEM|06 09.0|+24 16| 8.6|1.39|M3    |near center of CL M 35                                      |
|TU Gem       |SAO 78066; CCCS 461; HD 42247      |GEM|06 10.9|+26 01| 7.4|3.36|N3;C6 |Period 230 days; 7.5-8.4m                                   |
|TV Gem       |HD 42475; SAO 78092                |GEM|06 11.9|+21 52| 6.6|2.3 |M0    |                                                            |
|BU Gem       |HD 42543                           |GEM|06 12.3|+22 55| 6.4|2.2 |M1    |                                                            |
|Eta Gem      |SAO 78135                          |GEM|06 14.9|+22 30| 3.3|1.6 |M3    |Variable 3.15-3.9m; 2 close companions                      |
|ZZ Gem       |HD 44653; CCCS 501                 |GEM|06 24.0|+25 02| 8.8|4.1 |Ne    |                                                            |
|AB Gem       |HD 45087; CCCS 510                 |GEM|06 26.2|+19 04| 8.2|4.67|N     |                                                            |
|DH Gem       |BD +12:1177; CCCS 522              |GEM|06 30.9|+12 29| 9.4|5.09|N     |                                                            |
|CR Gem       |CCCS 534                           |GEM|06 34.4|+16 05| 9.2|3   |N     |Period Irr; 8.5-9.5m                                        |
|NY Gem       |HD 47396; CCCS 544                 |GEM|06 39.3|+22 36| 9.2|2.59|N;C3  |                                                            |
|VW Gem       |SAO 59383; CCCS 558                |GEM|06 42.1|+31 27| 8.1|2.42|N;C5  |Period Irr; 8.7-9.1m                                        |
|R Gem        |HD 53791                           |GEM|07 07.4|+22 42| 7.7|2.2 |S3    |                                                            |
|VX Gem       |HD 55284; CCCS 688                 |GEM|07 12.8|+14 36| 9  |3   |Nep   |                                                            |
|BM Gem       |HD 57160; CCCS 716                 |GEM|07 21.0|+25 00| 9.3|2.32|C5    |                                                            |
|NQ Gem       |SAO 79474; CCCS 779; HD 59643      |GEM|07 31.9|+24 30| 7.4|2.24|R9;C6 |                                                            |
|Pi1 Gru      |HD 212087                          |GRU|22 22.7|-45 57| 6.6|2   |S5    |                                                            |
|RR Her       |HD 144578; CCCS 2306               |HER|16 04.2|+50 30| 7.8|2.6 |Nep   |Variable 7.8-12m                                            |
|BD +42 2811  |SAO 46574; CCCS 2417               |HER|17 13.5|+42 06| 7.7|1.15|R1    |1 degree SW of glob M 92                                    |
